millis,arduinoId,temp,temp_dht22,humidity,humidity_dht22,pressure,illuminance,uva,uvb,uvIndex
millis,arduinoId,temp,temp_dht22,humidity,humidity_dht22,pressure,illuminance,uva,uvb,uvIndex
15724,1,19.27,18.80,84.10,56.50,76.15,1551.61,-4.72,-14.97,-0.02
79108,1,19.29,18.70,83.20,57.50,101.60,1562.90,-9.25,-19.47,-0.03
142600,1,19.46,18.70,82.27,57.20,101.61,1609.68,486.32,195.93,0.61
231863,1,18.68,17.60,77.12,59.50,101.62,1596.77,282.67,133.14,0.38
302999,1,17.54,16.70,89.03,67.00,101.63,1587.10,226.38,137.81,0.34
374055,1,17.43,16.10,90.22,67.20,101.63,1587.10,234.91,144.94,0.36
445111,1,16.93,15.60,91.37,68.60,101.63,1590.32,220.67,125.74,0.32
516166,1,17.07,15.40,92.45,70.30,101.63,1587.10,249.99,163.76,0.39
587222,1,17.18,15.10,92.81,70.40,101.63,1588.71,239.83,148.75,0.37
658277,1,17.37,15.00,92.96,72.80,101.64,1590.32,220.38,120.38,0.32
729333,1,17.27,14.80,92.57,72.50,101.63,1596.77,223.05,108.47,0.30
800389,1,17.46,14.70,91.51,72.70,101.64,1598.39,228.53,109.38,0.31
871444,1,17.30,14.70,91.87,73.50,101.64,1593.55,250.94,145.74,0.37
942500,1,17.48,14.60,91.84,73.10,101.63,1593.55,243.64,136.34,0.35
1013555,1,17.75,14.60,93.03,75.80,101.63,1593.55,249.64,141.34,0.37
1084611,1,17.80,14.50,93.06,76.90,101.64,1595.16,253.21,142.22,0.37
1155668,1,17.82,14.50,92.44,76.50,101.63,1596.77,260.89,145.89,0.38
1226723,1,18.02,14.40,92.44,76.80,101.63,1596.77,261.12,145.25,0.38
1297779,1,18.25,14.50,90.52,75.70,101.64,1596.77,262.12,147.25,0.38
1368834,1,18.41,14.60,89.99,75.60,101.64,1595.16,264.22,151.63,0.39
1439890,1,18.18,14.60,90.39,76.20,101.64,1595.16,264.32,155.01,0.39
1510946,1,17.91,14.60,91.52,76.00,101.64,1595.16,258.54,151.96,0.39
1582001,1,18.11,14.70,91.16,75.10,101.64,1593.55,256.97,153.08,0.39
