millis,arduinoId,temp,temp_dht22,humidity,humidity_dht22,pressure,illuminance,uva,uvb,uvIndex
15685,1,20.36,20.30,66.99,50.60,102.22,398.39,23.02,18.19,0.04
millis,arduinoId,temp,temp_dht22,humidity,humidity_dht22,pressure,illuminance,uva,uvb,uvIndex
15719,1,20.79,20.10,64.75,47.20,76.15,119.35,5.00,7.00,0.01
79146,1,20.71,20.10,64.76,48.00,102.22,298.39,18.24,16.14,0.03
142641,1,20.91,20.10,64.19,48.10,102.22,1591.94,324.32,187.70,0.48
206255,1,19.91,19.70,62.19,46.80,102.22,1577.42,214.68,133.01,0.33
269641,1,18.18,17.90,65.23,50.20,102.22,1577.42,214.13,133.32,0.33
333012,1,17.16,16.80,67.28,52.90,102.22,1579.03,213.58,130.63,0.33
396404,1,16.36,15.90,69.14,54.70,102.22,1577.42,216.58,134.63,0.33
459999,1,15.95,15.20,72.29,59.20,102.22,1577.42,218.25,136.89,0.34
523420,1,15.66,14.60,73.69,61.40,102.22,1577.42,217.70,135.20,0.33
586880,1,15.48,14.10,76.94,66.50,102.22,1579.03,218.15,134.51,0.33
650374,1,15.07,13.60,77.20,65.10,102.22,1577.42,221.15,136.51,0.34
713772,1,14.86,13.30,78.07,67.50,102.22,1579.03,222.82,138.77,0.34
777363,1,14.84,13.00,79.44,69.90,102.22,1580.65,225.82,141.77,0.34
840850,1,14.75,12.70,79.26,69.70,102.22,1579.03,226.27,141.08,0.34
904340,1,14.48,12.60,79.36,70.20,102.22,1580.65,223.17,137.70,0.34
967756,1,14.27,12.40,81.13,71.90,102.23,1579.03,224.84,138.96,0.34
1031160,1,14.30,12.30,82.06,73.00,102.23,1580.65,226.84,141.96,0.35
1097601,1,14.30,12.20,82.67,73.90,102.23,1580.65,228.51,142.22,0.35
1161487,1,14.45,12.10,85.85,78.40,102.22,1580.65,229.29,143.27,0.35
1224982,1,14.52,12.10,83.10,75.30,102.23,1580.65,230.96,145.53,0.36
1288366,1,14.57,12.00,82.98,75.10,102.23,1580.65,230.08,142.10,0.35
1351758,1,14.54,12.10,80.91,73.00,102.23,1580.65,234.08,148.10,0.36
1415146,1,14.52,12.10,82.34,75.40,102.22,1582.26,233.53,146.41,0.36
1478546,1,14.12,12.00,83.29,74.60,102.23,1582.26,235.75,149.36,0.37
1542031,1,14.00,12.00,83.87,74.30,102.22,1582.26,236.53,150.41,0.37
1605523,1,14.00,12.00,84.08,74.60,102.23,1580.65,234.65,146.98,0.36
1669014,1,13.95,12.10,84.06,73.90,102.23,1582.26,235.10,146.29,0.36
1732405,1,13.98,12.00,84.93,75.20,102.23,1580.65,239.32,152.24,0.37
1795896,1,13.95,12.00,85.72,75.10,102.23,1582.26,238.77,150.55,0.37
1859290,1,13.96,12.00,84.83,73.90,102.23,1582.26,238.22,150.86,0.37
1922776,1,13.93,12.10,86.23,76.50,102.23,1582.26,240.89,153.12,0.37
1986267,1,14.02,12.10,86.11,74.80,102.23,1582.26,239.34,150.43,0.37
