millis,arduinoId,temp,temp_dht22,humidity,humidity_dht22,pressure,illuminance,uva,uvb,uvIndex
15733,1,26.50,24.00,67.33,45.70,100.63,1587.10,-48.03,-72.38,-0.13
millis,arduinoId,temp,temp_dht22,humidity,humidity_dht22,pressure,illuminance,uva,uvb,uvIndex
15642,1,26.23,23.70,68.06,44.90,76.15,1588.71,-51.89,-77.62,-0.14
79095,1,26.04,23.70,68.33,46.10,100.63,1587.10,-51.46,-77.50,-0.14
142524,1,25.73,23.50,69.44,46.70,100.63,1588.71,-51.99,-78.00,-0.14
206078,1,25.61,23.30,69.71,47.20,100.63,1627.42,692.09,1378.18,2.29
270075,1,25.89,23.60,30.97,47.50,100.65,1588.71,224.45,118.79,0.32
336077,1,22.70,21.60,74.61,49.80,100.65,1590.32,225.25,122.03,0.32
404199,1,20.77,19.90,79.20,53.30,100.65,1590.32,227.23,120.84,0.32
473921,1,19.57,18.80,84.08,57.10,100.65,1590.32,228.69,122.56,0.33
552236,1,19.23,18.10,86.28,59.40,100.66,1587.10,231.43,128.60,0.34
615990,1,18.79,17.60,88.95,61.60,100.65,1590.32,237.89,131.32,0.34
679414,1,18.23,17.20,92.40,64.80,100.65,1587.10,236.33,132.22,0.34
745270,1,17.73,16.90,92.47,63.00,100.66,1588.71,234.57,128.36,0.34
811277,1,17.66,16.80,94.60,65.50,100.66,1577.42,319.08,247.74,0.55
883010,1,17.45,16.60,96.93,65.60,100.66,1590.32,239.25,131.03,0.34
972708,1,17.45,16.50,95.38,65.10,100.66,1591.94,233.19,126.03,0.33
1043873,1,17.57,16.50,95.68,65.60,100.66,1590.32,236.37,130.60,0.34
1114949,1,17.73,16.40,95.56,65.40,100.67,1598.39,274.78,129.56,0.37
1186024,1,18.00,16.50,94.49,66.70,100.67,1596.77,244.95,121.09,0.34
1257099,1,18.46,16.50,94.54,66.70,100.68,1596.77,239.71,118.95,0.33
1328194,1,18.66,16.50,93.78,66.20,100.69,1596.77,305.30,193.66,0.47
1399269,1,18.62,16.60,94.35,66.50,100.69,1595.16,250.58,129.97,0.35
1470355,1,18.62,16.70,95.46,67.30,100.69,1596.77,242.35,111.81,0.32
1541421,1,18.66,16.70,93.30,65.40,100.69,1608.06,271.78,69.99,0.29
1612476,1,19.29,16.80,88.92,66.40,100.70,1595.16,314.02,214.51,0.51
1683532,1,19.52,16.90,92.87,65.10,100.70,1600.00,329.48,200.32,0.50
1754587,1,19.55,16.90,91.38,65.10,100.71,1598.39,274.88,142.20,0.39
1825642,1,19.43,16.90,89.64,64.30,100.72,1603.23,252.18,82.68,0.29
1896698,1,19.45,16.90,89.16,65.60,100.72,1606.45,250.15,69.28,0.27
1967754,1,19.54,17.10,87.28,64.10,100.72,1600.00,297.69,168.91,0.44
2038809,1,19.52,17.20,90.64,64.30,100.72,1603.23,277.26,123.56,0.36
2109864,1,19.43,17.10,88.95,64.10,100.72,1600.00,318.44,192.62,0.48
2180919,1,19.39,17.20,91.77,66.00,100.72,1608.06,263.51,69.45,0.28
2251975,1,19.39,17.20,87.68,64.30,100.72,1604.84,268.03,92.08,0.32
2323031,1,19.95,17.30,86.64,63.90,100.72,1604.84,299.62,107.04,0.36
2394086,1,19.79,17.40,85.16,63.50,100.72,1603.23,301.76,152.83,0.42
2465142,1,19.27,17.40,88.78,62.80,100.73,1601.61,327.15,174.20,0.46
2536198,1,19.32,17.30,88.79,63.10,100.73,1603.23,339.68,175.90,0.48
2607253,1,19.23,17.30,88.94,63.50,100.72,1601.61,309.17,151.33,0.42
2678309,1,19.21,17.30,89.02,64.20,100.74,1600.00,298.20,154.10,0.42
2749364,1,18.91,17.30,89.71,63.10,100.73,1604.84,298.07,119.15,0.37
2820420,1,19.21,17.30,87.13,62.10,100.73,1608.06,314.98,120.75,0.39
2891475,1,19.37,17.40,86.03,62.40,100.74,1609.68,343.78,80.85,0.36
2962530,1,19.73,17.60,82.47,63.20,100.73,1608.06,424.81,234.66,0.61
3033585,1,20.00,17.70,84.66,61.40,100.74,1606.45,330.33,132.05,0.41
3104641,1,19.89,17.60,84.70,62.10,100.74,1603.23,336.48,164.82,0.46
3175696,1,19.71,17.60,86.18,62.00,100.74,1601.61,322.42,161.62,0.45
3246751,1,19.43,17.50,86.72,61.50,100.74,1603.23,315.08,141.30,0.41
3317807,1,19.32,17.50,87.29,61.90,100.74,1604.84,303.87,127.13,0.39
3388862,1,19.41,17.50,86.48,61.90,100.74,1604.84,317.30,146.25,0.42
3459917,1,19.45,17.50,86.20,61.60,100.75,1604.84,343.23,162.47,0.46
3530973,1,19.43,17.50,85.66,61.60,100.75,1606.45,350.21,159.48,0.46
3602028,1,19.75,17.60,84.53,61.80,100.75,1606.45,389.79,197.09,0.54
3673084,1,20.02,17.60,84.39,62.40,100.76,1609.68,369.20,156.16,0.47
3744139,1,20.07,17.80,83.03,62.20,100.77,1608.06,372.55,156.09,0.47
3815194,1,20.07,17.90,83.89,63.60,100.77,1608.06,373.36,153.74,0.47
3886250,1,19.87,18.00,82.77,61.20,100.76,1609.68,399.76,176.78,0.52
3957306,1,19.82,18.10,82.89,60.70,100.77,1609.68,376.55,155.61,0.48
4028362,1,20.04,18.00,81.58,60.00,100.77,1609.68,408.52,200.33,0.56
4099417,1,19.91,18.10,82.61,59.90,100.77,1609.68,395.29,174.54,0.51
4170472,1,19.96,18.00,81.75,60.10,100.78,1611.29,390.08,174.74,0.51
4241528,1,20.12,18.00,81.81,61.00,100.78,1611.29,394.33,185.35,0.53
4312583,1,19.89,18.00,82.92,61.00,100.78,1611.29,373.72,159.66,0.48
