millis,arduinoId,temp,temp_dht22,humidity,humidity_dht22,pressure,illuminance,uva,uvb,uvIndex
15688,2,20.03,20.80,131.36,63.00,76.15,114.52,1.00,10.00,0.01
millis,arduinoId,temp,temp_dht22,humidity,humidity_dht22,pressure,illuminance,uva,uvb,uvIndex
millis,arduinoId,temp,temp_dht22,humidity,humidity_dht22,pressure,illuminance,uva,uvb,uvIndex
15680,2,18.34,18.70,97.21,57.30,76.15,38.71,0.00,0.00,0.00
millis,arduinoId,temp,temp_dht22,humidity,humidity_dht22,pressure,illuminance,uva,uvb,uvIndex
15671,2,18.17,18.40,93.39,54.70,76.15,14.52,0.00,0.00,0.00
79020,2,18.21,18.40,93.61,54.80,102.20,14.52,0.00,1.00,0.00
142515,2,18.25,18.30,92.87,54.90,102.20,19.35,0.00,1.00,0.00
206006,2,18.48,18.20,92.41,55.10,102.20,17.74,0.00,1.00,0.00
269498,2,18.65,18.10,91.77,54.90,102.20,14.52,0.00,1.00,0.00
332996,2,18.79,18.10,91.72,55.50,102.20,16.13,0.00,1.00,0.00
396494,2,18.98,18.10,91.07,55.70,102.20,16.13,0.00,1.00,0.00
459973,2,19.12,18.10,90.37,55.00,102.19,12.90,0.00,0.00,0.00
523473,2,19.23,18.20,90.21,55.70,102.20,20.97,0.00,1.00,0.00
586963,2,19.36,18.20,89.88,55.60,102.20,14.52,0.00,1.00,0.00
650450,2,19.47,18.30,89.53,55.10,102.20,19.35,0.00,1.00,0.00
714051,2,19.54,18.30,88.99,55.00,102.20,20.97,0.00,1.00,0.00
777643,2,19.74,18.50,89.67,55.60,102.19,14.52,0.00,1.00,0.00
841130,2,19.83,18.50,89.15,55.50,102.20,16.13,0.00,2.00,0.00
904623,2,19.87,18.50,89.03,55.50,102.20,20.97,0.00,2.00,0.00
968114,2,19.98,18.60,89.08,55.90,102.19,22.58,0.00,2.00,0.00
1031607,2,20.01,18.70,88.89,55.10,102.19,12.90,0.00,1.00,0.00
1095033,2,20.07,18.70,89.31,56.00,102.19,14.52,0.00,1.00,0.00
