15677,2,20.23,58.34,101.03,6.18,18.14,0.03
76977,2,20.36,57.64,101.02,6.53,19.07,0.03
138085,2,20.67,56.75,101.02,5.98,18.38,0.03
15674,2,21.00,56.04,101.03,3.43,15.69,0.02
15719,2,21.36,55.49,76.15,22.03,43.17,0.07
76819,2,21.43,54.77,101.03,20.36,40.91,0.07
137912,2,21.64,53.86,101.03,21.79,42.03,0.07
199013,2,21.74,53.42,101.03,20.55,40.89,0.07
260104,2,21.82,53.24,101.03,15.87,34.22,0.06
321365,2,21.96,52.97,101.04,14.97,32.60,0.05
382610,2,21.98,52.73,101.03,16.52,33.29,0.06
443850,2,22.09,52.54,101.03,12.42,28.91,0.05
505092,2,22.13,52.36,101.03,15.09,32.17,0.05
566336,2,22.15,52.09,101.03,15.54,33.48,0.05
627579,2,22.15,51.95,101.02,12.99,29.79,0.05
688822,2,22.22,51.86,101.03,16.54,34.48,0.06
749917,2,22.20,51.72,101.03,17.42,34.91,0.06
811204,2,22.29,51.66,101.03,16.42,33.91,0.06
872296,2,22.25,51.48,101.03,14.32,31.53,0.05
933384,2,22.31,51.39,101.03,16.99,34.79,0.06
994624,2,22.36,51.28,101.03,19.77,38.84,0.06
1056273,2,22.38,51.20,101.03,16.20,33.96,0.06
1117516,2,22.40,51.21,101.03,18.30,36.34,0.06
1178607,2,22.42,51.17,101.03,16.30,33.34,0.06
1239696,2,22.40,51.16,101.03,14.97,32.60,0.05
1300795,2,22.42,51.01,101.03,14.54,32.48,0.05
1361878,2,22.49,50.91,101.02,16.44,35.10,0.06
1423219,2,22.47,50.88,101.02,17.24,36.34,0.06
1484340,2,22.55,50.64,101.02,24.04,47.58,0.08
1545601,2,22.55,50.49,101.02,27.82,51.63,0.09
