millis,arduinoId,temp,temp_dht22,humidity,humidity_dht22,pressure,illuminance,uva,uvb,uvIndex
millis,arduinoId,temp,temp_dht22,humidity,humidity_dht22,pressure,illuminance,uva,uvb,uvIndex
148214,2,22.31,21.70,66.70,53.50,76.15,1622.58,465.27,347.45,0.79
211725,2,20.52,19.60,62.58,56.00,101.36,1622.58,469.27,354.45,0.80
275277,2,19.58,18.20,63.95,58.70,101.37,1624.19,469.60,354.19,0.80
338874,2,18.63,17.40,66.43,62.30,101.37,1633.87,799.53,607.04,1.37
405213,2,18.30,17.10,66.05,66.00,101.36,1632.26,800.61,602.23,1.37
479028,2,17.59,16.60,68.23,67.30,101.36,1630.65,800.23,593.70,1.35
583278,2,18.14,16.60,69.50,69.30,101.36,1632.26,813.89,604.18,1.38
647162,2,18.23,16.50,69.03,68.70,101.36,1630.65,830.36,614.68,1.40
736799,2,18.14,16.40,68.58,68.60,101.36,1630.65,850.39,630.28,1.44
807964,2,18.45,16.40,68.27,68.60,101.36,1632.26,862.11,642.33,1.46
879039,2,18.32,16.40,67.66,68.10,101.36,1632.26,880.36,657.88,1.50
950115,2,18.72,16.50,69.52,70.90,101.36,1632.26,888.51,663.05,1.51
1021190,2,19.70,16.70,67.10,69.70,101.36,1632.26,898.10,673.12,1.53
1092285,2,19.92,16.90,65.29,68.20,101.36,1632.26,900.46,677.83,1.54
1163360,2,19.92,17.00,65.84,68.90,101.36,1632.26,898.77,672.38,1.53
1234436,2,20.03,17.00,64.43,67.40,101.36,1630.65,890.54,667.02,1.51
1305511,2,19.81,17.00,65.18,67.20,101.36,1630.65,875.97,661.14,1.50
1376586,2,19.90,17.10,65.33,67.10,101.36,1630.65,864.87,650.76,1.47
1447652,2,19.39,17.10,65.21,65.70,101.36,1633.87,855.96,646.73,1.46
1518707,2,19.60,17.10,65.52,66.20,101.36,1632.26,852.04,643.92,1.46
1589762,2,19.81,17.20,66.06,66.60,101.36,1632.26,847.14,639.30,1.45
1660818,2,19.65,17.10,64.76,64.90,101.35,1632.26,852.57,644.42,1.46
1731873,2,19.98,17.10,65.14,66.10,101.36,1632.26,865.81,656.56,1.48
1802928,2,20.60,17.20,65.20,68.30,101.36,1632.26,873.82,658.97,1.49
1873984,2,20.12,17.20,64.32,66.70,101.35,1632.26,891.72,676.59,1.53
1945039,2,20.00,17.20,63.10,64.40,101.36,1632.26,905.30,682.88,1.55
2016095,2,19.60,17.10,64.03,65.40,101.36,1632.26,925.22,700.69,1.58
2087151,2,20.31,17.30,63.83,66.20,101.36,1632.26,943.92,711.55,1.61
2158206,2,20.69,17.50,61.44,64.30,101.36,1632.26,970.07,732.72,1.66
2229261,2,21.22,17.70,62.08,67.10,101.36,1632.26,995.00,748.94,1.70
2300317,2,21.14,17.80,59.49,64.40,101.36,1632.26,1021.27,769.68,1.74
2371372,2,21.22,17.90,57.84,62.90,101.35,1633.87,1041.42,783.85,1.78
2442427,2,21.65,18.00,56.74,62.70,101.36,1635.48,1059.04,798.52,1.81
2513482,2,21.84,18.20,55.94,62.40,101.36,1633.87,1074.64,808.00,1.83
2584537,2,22.02,18.30,54.48,61.10,101.36,1633.87,1091.46,834.43,1.88
2655592,2,21.69,18.40,55.01,61.80,101.35,1635.48,1093.32,828.24,1.87
2726648,2,21.89,18.50,54.51,62.00,101.35,1635.48,1089.08,825.04,1.86
2797703,2,21.60,18.40,53.19,60.20,101.35,1635.48,1095.35,833.84,1.88
2868758,2,20.40,18.10,55.77,60.20,101.35,1635.48,1093.79,835.74,1.88
2939814,2,21.02,18.20,55.85,61.10,101.35,1635.48,1087.76,835.14,1.88
3010869,2,21.56,18.40,55.12,61.00,101.35,1635.48,1085.84,831.33,1.87
3081925,2,22.38,18.60,53.47,60.00,101.35,1635.48,1085.92,834.52,1.87
3152981,2,23.33,18.80,51.76,59.40,101.35,1633.87,1080.35,827.64,1.86
3224036,2,22.13,18.70,51.06,57.90,101.35,1633.87,1082.76,824.57,1.86
3295092,2,21.05,18.50,53.15,58.70,101.34,1635.48,1088.54,829.62,1.87
3366148,2,21.47,18.40,54.26,59.40,101.35,1633.87,1095.46,837.43,1.89
3437203,2,21.80,18.50,52.78,59.10,101.34,1633.87,1088.01,830.12,1.87
3508258,2,21.82,18.50,54.22,61.10,101.34,1633.87,1094.17,840.07,1.89
3579314,2,22.02,18.70,52.87,59.10,101.34,1633.87,1115.00,858.42,1.93
3650369,2,22.78,18.90,52.27,59.80,101.34,1635.48,1093.24,836.56,1.88
3721425,2,22.76,19.20,51.06,58.20,101.34,1637.10,1078.00,826.79,1.86
3792480,2,23.40,19.40,50.99,58.10,101.34,1635.48,1059.27,811.39,1.82
3863535,2,22.95,19.40,51.09,57.20,101.34,1637.10,1099.70,866.36,1.93
3934591,2,23.40,19.50,51.25,57.50,101.34,1637.10,1109.91,884.53,1.96
4005647,2,23.13,19.70,50.27,55.20,101.34,1637.10,1169.43,958.59,2.10
4076702,2,23.29,19.90,50.92,56.40,101.34,1638.71,1215.75,1019.26,2.21
4147768,2,23.58,20.20,50.56,54.90,101.34,1637.10,1137.00,921.19,2.02
4218833,2,24.09,20.40,50.94,55.00,101.34,1635.48,1113.68,896.09,1.97
4289898,2,24.08,20.20,50.92,55.10,101.34,1637.10,1187.75,997.98,2.16
4360963,2,23.89,20.10,50.66,54.30,101.34,1633.87,1057.16,832.09,1.85
4432029,2,24.02,20.10,51.18,54.20,101.34,1635.48,1069.67,851.54,1.88
4503104,2,22.53,19.60,51.77,54.30,101.34,1633.87,1049.31,819.63,1.83
4574179,2,22.58,19.40,54.10,56.00,101.34,1633.87,1048.60,817.99,1.83
4645255,2,22.76,19.30,54.27,56.40,101.34,1633.87,1158.27,954.87,2.08
4716330,2,23.11,19.40,53.54,56.60,101.34,1633.87,1196.56,1002.37,2.17
4787415,2,23.91,19.80,53.04,56.50,101.34,1633.87,1196.78,998.32,2.17
4858501,2,22.71,19.50,53.04,55.30,101.34,1633.87,1254.48,1068.95,2.30
4929606,2,23.40,19.80,53.87,55.60,101.34,1632.26,1027.23,791.53,1.78
5000711,2,23.58,19.80,54.81,55.70,101.33,1633.87,1132.27,902.45,2.00
5071817,2,23.58,19.50,54.71,56.30,101.34,1638.71,1434.60,1238.28,2.65
5142922,2,24.68,20.10,51.97,55.30,101.34,1641.94,1500.75,1308.59,2.79
5214027,2,25.39,20.90,50.09,53.50,101.35,1643.55,1698.25,1515.53,3.20
5285143,2,26.55,21.80,46.75,50.80,101.38,1645.16,1775.09,1597.29,3.37
5356257,2,27.23,22.30,44.88,49.40,101.41,1646.77,1909.03,1742.34,3.65
5427373,2,28.52,23.30,41.49,48.50,101.45,1648.39,2108.50,1951.17,4.07
5498488,2,29.27,24.10,37.18,45.60,101.49,1646.77,2130.35,1970.06,4.11
5569603,2,30.47,25.00,33.07,42.50,101.46,1648.39,2180.25,2017.25,4.21
5640719,2,31.33,25.60,31.17,41.10,101.43,1650.00,2299.14,2169.51,4.49
5711834,2,32.04,26.50,28.65,40.50,101.39,1648.39,2258.24,2154.18,4.44
5782959,2,32.80,26.90,27.30,38.20,101.34,1648.39,2275.17,2189.46,4.50
5854075,2,33.24,27.20,26.09,37.40,101.33,1646.77,2229.03,2139.48,4.40
5925191,2,32.95,27.50,26.01,37.20,101.33,1648.39,2279.84,2188.79,4.50
5996306,2,33.60,27.50,26.08,37.90,101.34,1648.39,2392.34,2323.32,4.76
6067422,2,34.53,28.30,23.28,36.60,101.33,1648.39,2204.13,2248.73,4.52
6138537,2,35.04,28.60,20.73,35.70,101.33,1648.39,1004.51,526.83,1.42
6209652,2,34.08,28.30,21.11,36.60,101.33,1648.39,663.33,200.14,0.74
6280777,2,35.02,29.30,18.85,35.60,101.33,1650.00,768.51,340.11,1.00
6351893,2,36.41,29.60,17.13,35.30,101.33,1650.00,877.12,472.83,1.25
6423008,2,34.95,29.10,16.38,34.50,101.33,1650.00,976.50,611.39,1.51
6494122,2,33.24,28.50,16.10,34.30,101.33,1648.39,1014.82,663.72,1.60
6565237,2,34.55,28.80,15.44,34.80,101.33,1650.00,1101.62,691.21,1.70
6636353,2,35.33,29.40,12.85,34.30,101.32,1648.39,1969.50,1626.23,3.55
6707468,2,36.63,30.30,8.81,32.90,101.32,1650.00,3165.70,3266.40,6.54
6768920,2,33.93,29.00,7.52,34.20,101.32,1648.39,2966.26,2882.02,5.90
6829950,2,36.19,30.10,5.87,34.30,101.32,1646.77,2484.11,2321.04,4.82
6890981,2,33.33,28.90,9.41,33.00,101.32,1650.00,2858.04,2693.93,5.58
6952011,2,32.60,28.40,-5.04,33.90,101.31,1648.39,2756.22,2526.47,5.29
7013041,2,34.51,28.90,-10.91,34.70,101.31,1650.00,2932.91,2641.25,5.56
7074072,2,36.72,29.90,-24.09,33.90,101.31,1648.39,2955.58,2607.88,5.54
7135102,2,38.37,30.90,-26.73,33.00,101.31,1650.00,2856.47,2483.21,5.30
7196134,2,35.97,29.90,-27.45,31.00,101.31,1646.77,2469.56,2106.60,4.53
7257165,2,35.84,29.70,-11.62,32.60,101.30,1648.39,2561.23,2185.34,4.70
7318195,2,36.01,29.70,-16.60,32.70,101.30,1650.00,2773.14,2383.76,5.11
7379225,2,36.95,30.50,-24.20,33.10,101.30,1648.39,2550.89,2165.45,4.67
7440256,2,35.84,30.20,-16.84,32.30,101.30,1648.39,2597.84,2184.63,4.73
7501286,2,34.91,29.40,-18.09,33.00,101.30,1648.39,2713.13,2277.47,4.93
7562316,2,36.64,30.40,-22.25,33.20,101.30,1648.39,2738.51,2288.63,4.97
7623346,2,36.73,30.80,-24.33,31.20,101.30,1650.00,2895.02,2414.22,5.24
7684379,2,34.18,29.70,-31.22,30.90,101.30,1650.00,2910.46,2407.12,5.24
7745409,2,35.64,29.80,-31.21,31.70,101.29,1648.39,2731.16,2231.33,4.89
7806439,2,36.73,30.70,-24.64,32.20,101.29,1646.77,2453.09,1970.62,4.34
7867469,2,36.22,30.90,-14.23,31.80,101.29,1646.77,2522.00,1996.62,4.43
7928500,2,34.88,30.30,-15.98,32.70,101.29,1650.00,2911.92,2310.96,5.12
7989530,2,36.06,30.80,-30.50,31.60,101.28,1650.00,2865.17,2244.17,5.00
8050560,2,36.75,31.10,-28.36,32.40,101.28,1646.77,2571.52,1984.37,4.45
8111593,2,34.40,30.30,-18.93,30.10,101.28,1643.55,2015.18,1534.81,3.46
8172624,2,32.47,28.80,4.42,31.90,101.29,1645.16,2322.08,1758.62,3.97
8233654,2,33.49,28.80,-5.58,36.00,101.29,1650.00,2489.03,1876.91,4.25
8294684,2,35.10,29.50,-14.82,32.80,101.28,1640.32,1700.97,1285.82,2.91
8355714,2,34.93,29.50,15.38,34.00,101.29,1641.94,1900.27,1419.87,3.23
8416744,2,33.77,29.10,7.43,32.10,101.28,1648.39,2332.80,1718.07,3.93
8477774,2,34.04,29.00,-10.39,33.20,101.29,1641.94,1950.21,1447.64,3.30
8538806,2,33.60,28.90,5.04,32.00,101.28,1645.16,2244.03,1644.32,3.77
8599837,2,32.25,28.20,-5.83,32.00,101.28,1650.00,3142.33,2250.17,5.22
8660867,2,33.62,28.60,-39.98,32.40,101.27,1646.77,2491.39,1813.82,4.17
8721897,2,33.66,29.00,-17.47,31.50,101.27,1646.77,2244.35,1654.82,3.78
8782927,2,33.24,28.70,-6.22,31.70,101.27,1650.00,3135.89,2264.73,5.22
8843957,2,34.29,29.10,-38.67,31.70,101.26,1650.00,3221.03,2312.89,5.35
8904987,2,34.88,29.20,-40.56,33.10,101.27,1648.39,3007.07,2151.68,4.98
8966019,2,34.24,28.90,-33.83,31.90,101.26,1648.39,2820.27,2026.59,4.69
9027050,2,35.79,29.90,-26.99,32.00,101.26,1648.39,2724.89,1943.58,4.51
9088080,2,36.13,30.60,-23.62,30.00,101.27,1645.16,2318.17,1672.94,3.86
9149110,2,33.97,29.20,-8.58,29.70,101.27,1645.16,2186.79,1582.50,3.65
9210140,2,32.55,28.60,-2.62,30.90,101.27,1640.32,1706.10,1287.23,2.91
9271171,2,31.33,28.00,15.59,32.50,101.27,1640.32,1736.66,1301.90,2.96
9332201,2,29.12,26.60,16.23,33.00,101.27,1641.94,1884.98,1404.03,3.20
9393233,2,29.69,26.40,14.49,35.70,101.27,1641.94,1926.25,1435.40,3.27
9454263,2,28.70,25.80,13.75,34.80,101.26,1641.94,1852.45,1393.56,3.16
9515294,2,28.88,25.70,17.12,36.20,101.26,1640.32,2019.59,1518.75,3.44
9576324,2,28.70,25.50,14.42,37.20,101.26,1645.16,2421.76,1781.76,4.08
9637354,2,28.77,25.60,0.92,37.10,101.25,1648.39,2881.54,2105.23,4.83
9698385,2,29.89,26.00,-15.15,37.00,101.25,1648.39,3087.31,2264.95,5.19
9759415,2,30.60,26.70,-23.64,35.40,101.25,1650.00,3391.10,2513.43,5.73
9820448,2,33.04,28.00,-32.75,36.50,101.13,1650.00,3483.05,2602.55,5.92
9881478,2,35.26,29.40,-38.85,34.30,101.07,1648.39,3092.54,2332.02,5.28
9942509,2,35.57,30.20,-28.90,32.50,101.18,1648.39,2804.92,2126.87,4.80
10003539,2,35.31,29.80,-20.32,31.40,101.24,1648.39,2847.60,2160.31,4.88
10064569,2,34.48,29.30,-22.70,31.10,101.25,1650.00,3241.36,2442.76,5.53
10125600,2,34.69,29.50,-35.81,30.50,101.27,1650.00,3060.96,2333.90,5.26
10186630,2,35.93,29.90,-28.73,33.40,101.33,1646.77,2857.72,2194.25,4.93
10247663,2,34.97,29.60,-22.85,31.70,101.33,1646.77,2718.65,2104.53,4.71
10308693,2,35.75,30.10,-18.21,32.30,101.28,1646.77,2629.38,2044.45,4.57
10369723,2,34.73,29.60,-15.72,30.40,101.26,1646.77,2689.44,2098.85,4.68
10430753,2,34.13,29.30,-16.40,31.70,101.25,1646.77,2586.20,2025.17,4.51
10491784,2,34.15,29.30,-12.47,30.90,101.25,1646.77,2599.06,2043.04,4.55
10552814,2,32.45,28.60,-10.77,31.80,101.25,1646.77,2719.71,2148.28,4.77
10613844,2,33.77,28.80,-14.12,33.40,101.25,1646.77,2688.85,2139.64,4.74
10674874,2,35.02,29.40,-14.23,31.20,101.24,1648.39,2793.28,2226.93,4.93
10735902,2,35.26,29.80,-17.71,31.70,101.24,1650.00,2987.88,2384.55,5.27
10796933,2,34.37,29.40,-24.42,30.90,101.24,1646.77,2954.84,2363.17,5.22
10857963,2,33.86,29.10,-22.83,31.40,101.23,1646.77,2694.75,2141.49,4.74
10918992,2,31.43,27.90,-13.58,31.00,101.23,1645.16,2509.67,1993.16,4.42
10980023,2,32.36,28.30,-5.94,32.90,101.24,1646.77,2805.41,2232.88,4.94
11041053,2,32.95,28.50,-15.55,32.90,101.23,1645.16,2571.91,2046.27,4.53
11102083,2,31.47,27.80,-7.20,32.30,101.23,1643.55,2160.18,1711.73,3.80
11163116,2,30.34,27.40,8.00,33.30,101.24,1641.94,2269.90,1804.75,4.00
11224146,2,30.14,27.00,7.13,33.70,101.23,1645.16,2793.05,2240.34,4.94
11285176,2,31.22,27.30,-5.13,34.20,101.22,1646.77,3175.57,2572.48,5.65
11346206,2,33.38,28.40,-10.46,35.90,101.22,1646.77,3227.87,2632.02,5.77
11407236,2,32.91,28.50,-5.86,31.20,101.21,1646.77,3090.07,2530.04,5.53
11468265,2,32.31,28.40,6.36,31.80,101.21,1646.77,3316.07,2744.98,5.98
11529296,2,31.63,27.80,9.27,33.10,101.21,1645.16,3407.16,2838.72,6.17
11590328,2,32.62,28.60,8.68,30.80,101.21,1645.16,3407.74,2847.81,6.18
11651358,2,32.49,28.80,7.01,31.60,101.21,1643.55,3458.02,2903.33,6.29
