millis,arduinoId,temp,temp_dht22,humidity,humidity_dht22,pressure,illuminance,uva,uvb,uvIndex
15646,2,19.43,19.80,63.39,48.40,76.15,375.81,13.36,17.34,0.03
millis,arduinoId,temp,temp_dht22,humidity,humidity_dht22,pressure,illuminance,uva,uvb,uvIndex
15647,2,19.63,19.80,63.43,47.50,76.15,193.55,7.56,16.10,0.03
79025,2,19.70,19.90,63.41,48.60,102.22,195.16,7.56,17.10,0.03
142625,2,19.94,19.80,62.47,48.10,102.22,1616.13,507.87,330.59,0.80
206112,2,18.56,18.60,59.72,47.80,102.22,1611.29,491.89,305.21,0.75
269613,2,17.32,17.40,62.81,51.40,102.22,1611.29,498.89,313.21,0.77
333098,2,16.43,16.20,64.71,53.80,102.22,1611.29,499.44,312.90,0.77
396484,2,15.95,15.30,66.16,57.40,102.22,1611.29,502.44,312.90,0.77
459974,2,15.42,14.60,68.78,60.40,102.22,1612.90,505.34,315.52,0.78
523500,2,15.21,14.00,70.72,63.50,102.22,1611.29,510.24,320.14,0.79
586961,2,14.93,13.50,71.78,65.90,102.22,1611.29,514.34,322.52,0.79
650554,2,14.68,13.10,73.64,67.70,102.22,1612.90,519.81,329.02,0.81
714049,2,14.51,12.80,74.07,68.50,102.22,1614.52,530.98,341.38,0.83
777538,2,14.35,12.60,73.75,68.80,102.22,1614.52,527.61,334.26,0.82
841031,2,14.22,12.30,75.22,70.80,102.22,1611.29,528.24,332.14,0.82
904449,2,13.97,12.10,75.86,71.80,102.22,1614.52,534.16,337.95,0.83
967914,2,13.78,12.00,78.46,73.80,102.22,1612.90,536.26,339.33,0.83
1031404,2,13.66,11.90,78.84,73.90,102.22,1612.90,539.03,341.97,0.84
1096822,2,13.24,11.90,77.30,70.60,102.22,1614.52,546.28,347.52,0.85
1160317,2,13.40,11.90,79.50,73.10,102.22,1616.13,553.61,359.83,0.87
1223735,2,13.75,11.90,79.70,74.90,102.22,1622.58,584.36,381.62,0.92
1287219,2,14.06,12.00,77.70,74.40,102.22,1625.81,612.39,429.93,1.00
1350603,2,14.53,12.30,74.99,73.50,102.22,1627.42,625.20,443.58,1.03
